date,package,last_day,last_week,last_month
2026-06-20T06:51:36Z,gguf,215531,1653564,6551835
2026-06-21T06:15:21Z,gguf,185826,1656580,6455445
2026-06-22T11:57:54Z,gguf,178598,1682846,6370118
2026-06-22T12:37:58Z,gguf,178598,1682846,6370118
2026-06-26T11:18:16Z,gguf,306344,1707174,6760436
2026-06-29T11:34:57Z,gguf,183064,1773411,6732594
2026-07-02T13:26:25Z,gguf,243298,1670682,6880438
2026-07-07T15:42:37Z,gguf,229083,1473750,6753969
2026-07-13T09:57:43Z,gguf,133528,1452931,6728886
2026-07-20T09:44:47Z,gguf,144752,1454754,6530076
2026-07-22T08:39:13Z,gguf,292279,1559284,6716878
2026-07-24T09:33:31Z,gguf,288323,1663436,6721566
2026-07-27T10:28:57Z,gguf,136862,1710507,6467781
2026-08-02T16:15:07Z,gguf,253677,1670855,6676088
2026-08-03T10:26:50Z,gguf,255288,1789281,6729886
2026-08-10T08:16:05Z,gguf,256791,2337865,7573686
2026-08-10T21:28:37Z,gguf,256791,2337865,7573686
2026-08-13T21:27:13Z,gguf,400265,2372012,8190101
