date,package,last_day,last_week,last_month
2026-06-05T09:03:04Z,onnx-ir,280123,2030101,6029511
2026-06-07T07:50:12Z,onnx-ir,340436,2200862,6233252
2026-06-08T11:29:42Z,onnx-ir,93097,2210443,6150326
2026-06-10T05:36:55Z,onnx-ir,110844,1591400,6177084
2026-06-12T06:50:12Z,onnx-ir,133488,1006533,5948902
2026-06-13T04:44:07Z,onnx-ir,90363,904510,5862897
2026-06-15T07:08:32Z,onnx-ir,38840,551531,5704802
2026-06-15T12:53:41Z,onnx-ir,38840,551531,5704802
2026-06-17T10:15:40Z,onnx-ir,92476,481941,5734287
2026-06-19T20:59:25Z,onnx-ir,92453,540051,5588387
2026-06-21T06:15:20Z,onnx-ir,54055,562407,5296477
2026-06-22T12:37:57Z,onnx-ir,48160,571727,5243590
2026-06-26T11:18:16Z,onnx-ir,124203,692989,4830117
2026-07-02T13:26:25Z,onnx-ir,114860,685582,3934998
2026-07-07T15:42:37Z,onnx-ir,127118,620929,2659627
2026-07-13T09:57:42Z,onnx-ir,41412,613425,2581860
2026-07-20T09:44:46Z,onnx-ir,43413,580043,2611837
2026-07-22T08:39:13Z,onnx-ir,115310,601927,2721508
2026-08-03T10:26:50Z,onnx-ir,55280,710751,2688537
2026-08-10T21:28:36Z,onnx-ir,51700,634206,2704906
2026-08-14T21:42:28Z,onnx-ir,120094,672848,2886832
