date,package,last_day,last_week,last_month
2026-06-05T07:45:48Z,onnx,865789,5663128,21608105
2026-06-05T09:03:03Z,onnx,865789,5663128,21608105
2026-06-07T07:50:11Z,onnx,723160,5836104,21610398
2026-06-08T11:29:41Z,onnx,458984,5803331,21372743
2026-06-10T05:36:53Z,onnx,698771,5199260,21827979
2026-06-12T06:50:12Z,onnx,701294,4025605,21007130
2026-06-13T04:44:06Z,onnx,649421,3927700,20852898
2026-06-15T12:53:40Z,onnx,410323,3596151,20323078
2026-06-17T10:15:38Z,onnx,692236,3534322,20762882
2026-06-19T20:59:24Z,onnx,660964,4170846,20567199
2026-06-21T06:15:19Z,onnx,447452,4135458,19984333
2026-06-22T11:57:53Z,onnx,437767,4162902,19763965
