job_id,run_id,workflow,job_name,status,conclusion,started_at,completed_at,duration_seconds,head_sha
78545978395,26650118247,Create Releases,call-mac,completed,skipped,2026-05-29T16:47:17Z,2026-05-29T16:47:17Z,0,b1ec30d6fe7202f0bdb293ad074fc01fb1906111
78407338766,26607947708,Create Releases,call-mac,completed,skipped,2026-05-28T23:17:48Z,2026-05-28T23:17:38Z,-10,185e494c29df7cb86a7173938b0c41a89c1a66ff
78405975852,26607525942,Create Releases,call-mac,completed,skipped,2026-05-28T23:06:12Z,2026-05-28T23:06:12Z,0,6d53b6f88a23a92e320f8c44abd1d53499281dd3
78404841189,26607167605,Create Releases,call-mac,completed,skipped,2026-05-28T22:56:57Z,2026-05-28T22:56:51Z,-6,76390cb7176ceffa1ea4b23227c91cbe79dc02d8
78403332444,26606681632,Create Releases,call-mac,completed,skipped,2026-05-28T22:44:52Z,2026-05-28T22:44:42Z,-10,778c3c13dea84a4858402b5559b2d7efffb2d724
78401631592,26606146360,Create Releases,call-mac,completed,skipped,2026-05-28T22:32:12Z,2026-05-28T22:32:04Z,-8,b4f1a6530e53c550b8f82b61c5650758ccc9b136
78401320438,26606053941,Create Releases,call-mac,completed,skipped,2026-05-28T22:29:58Z,2026-05-28T22:29:58Z,0,1506c39e52f05b1dc94b4946b8e4a64fcec45e37
78399849753,26605591817,Create Releases,call-mac,completed,skipped,2026-05-28T22:19:07Z,2026-05-28T22:18:59Z,-8,0e3903b87a1ae564246fdb370a567cc3995ba8b3
78398555445,26605209184,Create Releases,call-mac,completed,skipped,2026-05-28T22:09:44Z,2026-05-28T22:09:44Z,0,70452e7b7736d66307327e068bbb2907331dcc47
78396490582,26604593788,Create Releases,call-mac,completed,skipped,2026-05-28T21:55:43Z,2026-05-28T21:55:42Z,-1,70452e7b7736d66307327e068bbb2907331dcc47
78396318101,26604543108,Create Releases,call-mac,completed,skipped,2026-05-28T21:54:36Z,2026-05-28T21:54:36Z,0,1f964887631491adfe96111ce4024c4b5058b09c
78395915633,26604421700,Create Releases,call-mac,completed,skipped,2026-05-28T21:52:02Z,2026-05-28T21:52:02Z,0,5b6d694c237733c892843343b812e2e6e25ac683
78382943273,26600587513,Create Releases,call-mac,completed,skipped,2026-05-28T20:33:39Z,2026-05-28T20:33:32Z,-7,1647a460914ad52cac95d583e5ae18959439d22e
78382830054,26600559797,Create Releases,call-mac,completed,skipped,2026-05-28T20:32:59Z,2026-05-28T20:32:59Z,0,b201509a671d6ab188b35a16bfe49cfda7ae1840
78213552747,26551214262,Create Releases,call-mac,completed,skipped,2026-05-28T02:37:44Z,2026-05-28T02:37:37Z,-7,8a8144ced43f8c777084289aa10faa16d3b93643
78180467707,26540491958,Create Releases,call-mac,completed,skipped,2026-05-27T21:43:08Z,2026-05-27T21:43:08Z,0,e086903b078abc7d238110addd67da9b8680b609
78178506622,26539898393,Create Releases,call-mac,completed,skipped,2026-05-27T21:30:41Z,2026-05-27T21:30:31Z,-10,f02702131da453a50c5d1ad1e800e4e26060bdff
78169624512,26532735597,Create Releases,call-mac,completed,skipped,2026-05-27T20:38:16Z,2026-05-27T20:38:08Z,-8,28646540fda34393bd35e0da214b0706811e5d43
78137766573,26528165101,Create Releases,call-mac,completed,skipped,2026-05-27T17:43:02Z,2026-05-27T17:43:02Z,0,1fe72a6e99c73d5135441efc91357074c2a8fe9a
78117791164,26522658525,Create Releases,call-mac,completed,skipped,2026-05-27T15:57:44Z,2026-05-27T15:57:35Z,-9,6a46603ae02b7e8ae19b4ee49d8a8a8ac1bcff47
78009304708,26491232774,Create Releases,call-mac,completed,skipped,2026-05-27T04:42:45Z,2026-05-27T04:42:36Z,-9,864742983359bfa003ce7bfce534f7d1eb099bad
78004096597,26488442060,Create Releases,call-mac,completed,skipped,2026-05-27T03:46:40Z,2026-05-27T03:46:39Z,-1,803158c5ccbf8e7e4742cdea9b1d328cddbacb61
78004232586,26488142834,Create Releases,call-mac,completed,skipped,2026-05-27T03:48:11Z,2026-05-27T03:48:11Z,0,19767c8d3dfb9002678ed02e5dd7260716fdef7e
77999435967,26481561410,Create Releases,call-mac,completed,skipped,2026-05-27T02:57:57Z,2026-05-27T02:57:57Z,0,c7920c619092d9c567439505b20c411b54c31d44
77979934879,26476878430,Create Releases,call-mac,completed,skipped,2026-05-26T23:43:01Z,2026-05-26T23:43:00Z,-1,a9b1e880358efa66149bff8d2e056f6c3f4e0315
77962972069,26476373878,Create Releases,call-mac,completed,skipped,2026-05-26T21:32:47Z,2026-05-26T21:32:37Z,-10,b6885215a27a4727e6f6427b67729217194cf012
77962927999,26475204927,Create Releases,call-mac,completed,skipped,2026-05-26T21:32:30Z,2026-05-26T21:32:30Z,0,b6885215a27a4727e6f6427b67729217194cf012
77979574319,26466634090,Create Releases,call-mac,completed,skipped,2026-05-26T23:39:41Z,2026-05-26T23:39:40Z,-1,c7920c619092d9c567439505b20c411b54c31d44
77895707322,26457528215,Create Releases,call-mac,completed,skipped,2026-05-26T15:20:19Z,2026-05-26T15:20:19Z,0,edc823dbe63776a999a3223470bcdcf5b93e53e5
77637332952,26376417222,Create Releases,call-mac,completed,skipped,2026-05-24T23:59:47Z,2026-05-24T23:59:47Z,0,6537780fd134b14fde438455141a3f379b0d2ec0
77583581082,26356317482,Create Releases,call-mac,completed,skipped,2026-05-24T08:26:18Z,2026-05-24T08:26:18Z,0,22159d17d6150b0c92280545ac6502f308addfb3
77576129341,26353600707,Create Releases,call-mac,completed,skipped,2026-05-24T06:05:48Z,2026-05-24T06:05:38Z,-10,790c1fe8795debd347d058950a051c4ab13c9d42
77547579315,26342775939,Create Releases,call-mac,completed,skipped,2026-05-23T20:29:00Z,2026-05-23T20:28:51Z,-9,9d40fd34d2e3bf69d8d327764724ec93f21b884a
77544227503,26341494246,Create Releases,call-mac,completed,skipped,2026-05-23T19:27:12Z,2026-05-23T19:27:12Z,0,25680a60544415a2df6cc5ddcbec30e92d5d6ad5
77537365532,26338924012,Create Releases,call-mac,completed,skipped,2026-05-23T17:22:49Z,2026-05-23T17:22:39Z,-10,f34e0a34792a759aa35db9f29f8c848146482ede
77533810935,26337586673,Create Releases,call-mac,completed,skipped,2026-05-23T16:17:28Z,2026-05-23T16:17:28Z,0,337ec8abf01a524f2032ffc0f94b16048e7fef7a
77529998471,26336114203,Create Releases,call-mac,completed,skipped,2026-05-23T15:07:15Z,2026-05-23T15:07:06Z,-9,1c8122c8fb232603e9fd2ddd08d8aab63fbf61ac
77529368858,26335871990,Create Releases,call-mac,completed,skipped,2026-05-23T14:55:50Z,2026-05-23T14:55:50Z,0,aa4bd0cd35ab6339f6020f031cf80be53182376d
77527581844,26335177353,Create Releases,call-mac,completed,skipped,2026-05-23T14:25:08Z,2026-05-23T14:25:08Z,0,f34e0a34792a759aa35db9f29f8c848146482ede
