job_id,run_id,workflow,job_name,status,conclusion,started_at,completed_at,duration_seconds,head_sha
75933230212,25843408648,Create Releases,"call-win / build-windows (3.10, x86)",completed,cancelled,2026-05-14T05:23:58Z,2026-05-14T05:36:58Z,780,42c047662d5139bb3c563450b65434d92cf9cf02
75926863858,25841260911,Create Releases,"call-win / build-windows (3.10, x86)",completed,success,2026-05-14T04:14:21Z,2026-05-14T04:33:09Z,1128,c7027a8ab99d923f49feba23d2dd1b9c64a29b89
75919275947,25838735313,Create Releases,"call-win / build-windows (3.10, x86)",completed,success,2026-05-14T02:49:38Z,2026-05-14T03:08:28Z,1130,7cde2b9e0ffda9ffe050a43b83eabf02cf7979a2
75913175877,25836686835,Create Releases,"call-win / build-windows (3.10, x86)",completed,success,2026-05-14T01:43:07Z,2026-05-14T02:00:28Z,1041,ab8ad54f70c45452a6118f245e97805c64fffe81
75912229886,25836378249,Create Releases,"call-win / build-windows (3.10, x86)",completed,success,2026-05-14T01:32:56Z,2026-05-14T01:50:53Z,1077,c7027a8ab99d923f49feba23d2dd1b9c64a29b89
75842811839,25815513733,Create Releases,"call-win / build-windows (3.10, x86)",completed,success,2026-05-13T17:30:17Z,2026-05-13T17:48:10Z,1073,1deca92363db01b1086971fea00ed12198934b9e
75841128767,25814977523,Create Releases,"call-win / build-windows (3.10, x86)",completed,success,2026-05-13T17:20:51Z,2026-05-13T17:40:33Z,1182,fc131ecf091e8a35a07f81906f83c4829ef21140
75840744124,25814918551,Create Releases,"call-win / build-windows (3.10, x86)",completed,cancelled,2026-05-13T17:18:44Z,2026-05-13T17:20:33Z,109,fc131ecf091e8a35a07f81906f83c4829ef21140
75838606746,25814308083,Create Releases,"call-win / build-windows (3.10, x86)",completed,success,2026-05-13T17:06:48Z,2026-05-13T17:28:33Z,1305,4d25bf19e5a212890efcb835f9e67d57ad6c6d36
75837019123,25813790660,Create Releases,"call-win / build-windows (3.10, x86)",completed,success,2026-05-13T16:58:05Z,2026-05-13T17:17:44Z,1179,4668f9b74297852628b48d9e27f213e40910296b
75802016518,25804139290,Create Releases,"call-win / build-windows (3.10, x86)",completed,success,2026-05-13T14:03:09Z,2026-05-13T14:23:51Z,1242,4ee00680809ce7d5a3450ec307ffdcdc78aa71d8
75799973568,25803565778,Create Releases,"call-win / build-windows (3.10, x86)",completed,success,2026-05-13T13:53:15Z,2026-05-13T14:13:15Z,1200,d12da7377b89fe23238eda5f117ed975b3b81188
75799731346,25803498636,Create Releases,"call-win / build-windows (3.10, x86)",completed,success,2026-05-13T13:52:05Z,2026-05-13T14:13:28Z,1283,fc68af72f361b19ac6c43e5cf608afb3a2c23c4a
75796705211,25802664987,Create Releases,"call-win / build-windows (3.10, x86)",completed,failure,2026-05-13T13:37:17Z,2026-05-13T13:54:39Z,1042,191b13bf25ab9d7631da2459b827dbe8dc1b3b89
75788597230,25800357034,Create Releases,"call-win / build-windows (3.10, x86)",completed,failure,2026-05-13T12:54:57Z,2026-05-13T13:10:35Z,938,e08c328ece692dacb34975aae039378865592895
75788368734,25800349185,Create Releases,"call-win / build-windows (3.10, x86)",completed,cancelled,2026-05-13T12:53:41Z,2026-05-13T12:54:35Z,54,01a643c878f8daf9d6eaa424375cee53d1052a32
75784312176,25799208711,Create Releases,"call-win / build-windows (3.10, x86)",completed,failure,2026-05-13T12:30:57Z,2026-05-13T12:48:27Z,1050,9627f352de509686404391b3a3d27a9191cc1e21
75747287007,25788368213,Create Releases,"call-win / build-windows (3.10, x86)",completed,failure,2026-05-13T08:44:17Z,2026-05-13T09:02:03Z,1066,cd5e40e005ad778cc15c4b427d2ba5e0150adc61
75738499923,25785426092,Create Releases,"call-win / build-windows (3.10, x86)",completed,failure,2026-05-13T07:46:59Z,2026-05-13T08:04:30Z,1051,f1fd19ed1065072589147a7e03b2b80fc5a431cc
75737106251,25785289140,Create Releases,"call-win / build-windows (3.10, x86)",completed,failure,2026-05-13T07:37:22Z,2026-05-13T07:55:58Z,1116,e12c2e2092abf9f475a16d41452713803bd9dee4
75733390527,25784147561,Create Releases,"call-win / build-windows (3.10, x86)",completed,failure,2026-05-13T07:11:03Z,2026-05-13T07:28:03Z,1020,b787594e532421217dd7e3a580b72d376a62f0b3
75736927977,25783280763,Create Releases,"call-win / build-windows (3.10, x86)",completed,cancelled,2026-05-13T07:36:05Z,2026-05-13T07:46:38Z,633,feccca88eb9a716c18359616eb3530a18630650e
