date,package,last_day,last_week,last_month
2026-05-30T06:25:00Z,onnxmltools,23620,140782,547947
2026-06-01T12:26:32Z,onnxmltools,12864,146999,533452
2026-06-05T07:45:49Z,onnxmltools,29603,156028,578627
2026-06-05T09:03:04Z,onnxmltools,29603,156028,578627
2026-06-07T07:50:12Z,onnxmltools,19288,156314,580752
2026-06-08T11:29:42Z,onnxmltools,16556,160006,580267
2026-06-10T05:36:54Z,onnxmltools,27747,167842,621133
2026-06-12T06:50:12Z,onnxmltools,32975,150460,616251
2026-06-13T04:44:07Z,onnxmltools,37097,166221,631699
2026-06-13T17:44:22Z,onnxmltools,37097,166221,631699
2026-06-17T10:15:39Z,onnxmltools,23992,160939,657059
2026-06-19T20:59:25Z,onnxmltools,31099,191455,679616
2026-06-21T06:15:20Z,onnxmltools,18806,176377,674637
