date,package,last_day,last_week,last_month
2026-05-30T06:24:59Z,onnxruntime-genai,19582,109585,502041
2026-06-02T08:52:45Z,onnxruntime-genai,20954,122070,494703
2026-06-05T07:45:48Z,onnxruntime-genai,15487,116673,493762
2026-06-05T09:03:03Z,onnxruntime-genai,15487,116673,493762
2026-06-07T07:50:12Z,onnxruntime-genai,15681,122523,484041
2026-06-08T11:29:41Z,onnxruntime-genai,8565,122670,470113
2026-06-10T05:36:54Z,onnxruntime-genai,22772,125169,490552
2026-06-11T06:03:02Z,onnxruntime-genai,0,104680,472439
2026-06-12T06:50:12Z,onnxruntime-genai,21096,110289,474121
2026-06-13T04:44:06Z,onnxruntime-genai,7970,96164,460356
2026-06-15T07:08:31Z,onnxruntime-genai,2774,77169,429632
2026-06-15T12:53:41Z,onnxruntime-genai,2774,77169,429632
2026-06-17T10:15:39Z,onnxruntime-genai,5397,44854,425470
2026-06-18T11:18:09Z,onnxruntime-genai,6293,51147,412310
2026-06-19T20:59:24Z,onnxruntime-genai,6023,36074,397058
2026-06-20T06:51:35Z,onnxruntime-genai,6220,34324,387018
2026-06-21T06:15:19Z,onnxruntime-genai,3491,35338,371384
2026-06-22T11:57:53Z,onnxruntime-genai,2172,34736,364922
2026-06-22T12:37:57Z,onnxruntime-genai,2172,34736,364922
2026-06-26T11:18:15Z,onnxruntime-genai,5652,33702,337830
2026-06-29T11:34:55Z,onnxruntime-genai,3054,34155,289492
2026-07-03T06:59:34Z,onnxruntime-genai,3757,34072,250113
2026-07-07T15:42:36Z,onnxruntime-genai,5184,33671,192856
2026-07-13T09:57:41Z,onnxruntime-genai,2491,32174,139363
2026-07-20T09:44:46Z,onnxruntime-genai,1936,25832,130871
2026-07-21T17:09:04Z,onnxruntime-genai,3769,25163,131149
2026-07-24T09:33:28Z,onnxruntime-genai,4214,23290,132388
2026-08-02T16:15:05Z,onnxruntime-genai,3344,26860,118744
2026-08-10T08:16:03Z,onnxruntime-genai,1573,23677,106870
