date,open_prs,opened_prs_7d,closed_prs_7d,merged_prs_7d,opened_prs_1d,closed_prs_1d,merged_prs_1d,avg_open_age_days
2026-08-28T08:10:40Z,817,,,33,,,,263.87
2026-08-30T10:09:30Z,829,92,42,35,,,,262.02
2026-08-31T11:11:02Z,830,85,45,37,,,,262.75
2026-09-01T09:38:01Z,828,84,46,37,13,15,12,264.05
2026-09-02T09:08:48Z,850,98,53,42,31,9,7,258.05
2026-09-03T09:15:07Z,857,107,64,56,23,16,16,256.77
2026-09-04T09:08:25Z,852,107,73,65,12,17,15,258.96
2026-09-05T08:40:20Z,853,104,74,64,12,11,9,259.38
2026-09-06T08:59:41Z,855,100,74,62,5,3,1,259.55
2026-09-07T09:47:37Z,858,100,72,60,4,1,0,259.67
2026-09-08T09:11:55Z,862,93,59,50,6,2,2,259.43
2026-09-09T09:15:51Z,866,83,67,57,21,17,14,258.59
