date,package,last_day,last_week,last_month
2026-06-01T12:26:32Z,onnxscript,116386,2011571,6507904
2026-06-02T08:52:46Z,onnxscript,562778,2171143,6996809
2026-06-05T07:45:49Z,onnxscript,345265,2535425,7956866
2026-06-05T09:03:04Z,onnxscript,345265,2535425,7956866
2026-06-07T07:50:12Z,onnxscript,362944,2682539,8153610
2026-06-08T11:29:42Z,onnxscript,113694,2679847,8036815
2026-06-10T05:36:55Z,onnxscript,146363,1933818,8057202
2026-06-12T06:50:12Z,onnxscript,176964,1244091,7747228
2026-06-13T17:44:22Z,onnxscript,105663,1072503,7594971
2026-06-19T20:59:25Z,onnxscript,144144,726180,7163458
2026-06-21T06:15:20Z,onnxscript,61718,802747,6776728
2026-06-22T11:57:53Z,onnxscript,53830,810872,6678735
2026-06-22T12:37:57Z,onnxscript,53830,810872,6678735
2026-06-24T21:23:02Z,onnxscript,150450,922463,6544286
2026-06-26T11:18:16Z,onnxscript,179595,968327,6255051
2026-06-29T11:34:56Z,onnxscript,65195,954096,5521847
