date,package,last_day,last_week,last_month
2026-06-21T06:15:22Z,pytorch,5801,42265,189746
2026-06-22T11:57:54Z,pytorch,5623,42238,182995
2026-06-22T12:37:58Z,pytorch,5623,42238,182995
2026-06-26T11:18:17Z,pytorch,6071,42236,174577
2026-06-29T11:34:57Z,pytorch,5621,42309,173948
2026-07-02T13:26:26Z,pytorch,6087,42009,175309
2026-07-03T06:59:36Z,pytorch,6004,41942,175125
2026-07-07T15:42:39Z,pytorch,6001,41238,173995
2026-07-16T05:44:16Z,pytorch,5877,40528,178415
2026-07-20T09:44:47Z,pytorch,5364,40582,176624
2026-07-22T08:39:14Z,pytorch,5900,40459,176976
2026-08-02T16:15:08Z,pytorch,5408,39826,173307
2026-08-03T10:26:51Z,pytorch,5335,39623,172727
2026-08-10T21:28:38Z,pytorch,5465,39297,171268
2026-08-14T21:42:30Z,pytorch,5596,39313,171053
2026-08-17T07:37:42Z,pytorch,5542,39544,169997
2026-08-20T06:29:27Z,pytorch,5546,39315,170213
2026-08-22T06:30:44Z,pytorch,5860,39218,169715
