date,package,last_day,last_week,last_month
2026-06-21T06:15:21Z,tensorflow,582163,4489468,21680865
2026-06-22T11:57:54Z,tensorflow,505146,4528835,21517884
2026-06-26T11:18:17Z,tensorflow,699477,4396798,21192998
2026-06-29T11:34:57Z,tensorflow,446850,4231444,20295647
2026-07-13T09:57:44Z,tensorflow,507841,4565393,18376621
2026-07-14T12:56:17Z,tensorflow,678339,4600161,18558358
2026-07-20T09:44:47Z,tensorflow,480826,4531858,18504572
2026-07-21T17:09:05Z,tensorflow,679119,4532638,18601528
2026-07-27T10:28:57Z,tensorflow,530352,4555374,18691717
2026-08-02T16:15:08Z,tensorflow,576084,4747771,19415499
2026-08-04T13:06:30Z,tensorflow,684959,4724896,19595607
2026-08-07T06:26:12Z,tensorflow,662108,4561971,19819257
2026-08-13T10:10:07Z,tensorflow,634507,4129543,19405219
2026-08-13T21:27:13Z,tensorflow,634507,4129543,19405219
2026-08-14T21:42:29Z,tensorflow,667678,4135113,19343790
2026-08-17T07:37:42Z,tensorflow,472373,4080761,18767728
2026-08-20T06:29:27Z,tensorflow,614730,4001907,18874488
2026-08-22T06:30:44Z,tensorflow,654051,4018113,18733238
