date,package,last_day,last_week,last_month
2026-05-30T06:25:00Z,tf2onnx,14572,73160,308069
2026-06-01T12:26:32Z,tf2onnx,7357,76481,301095
2026-06-02T08:52:46Z,tf2onnx,12882,80365,308766
2026-06-05T07:45:49Z,tf2onnx,11432,78288,316345
2026-06-05T09:03:04Z,tf2onnx,11432,78288,316345
2026-06-07T07:50:13Z,tf2onnx,5119,74649,309386
2026-06-08T11:29:42Z,tf2onnx,5957,73249,305269
2026-06-10T05:36:55Z,tf2onnx,12205,71461,319567
2026-06-12T06:50:12Z,tf2onnx,14896,63276,310474
2026-06-13T04:44:08Z,tf2onnx,10617,61146,308958
2026-06-13T17:44:23Z,tf2onnx,10617,61146,308958
