date,library,sklearn_version,yobx_version,n_estimators,n_predictable,n_converted,coverage_pct
2026-05-30T06:25:47Z,category_encoders,1.8.0,0.1.0,20,20,7,35.00
2026-05-30T06:25:47Z,imblearn,1.8.0,0.1.0,4,4,4,100.00
2026-05-30T06:25:47Z,lightgbm,1.8.0,0.1.0,3,3,3,100.00
2026-05-30T06:25:47Z,sklearn,1.8.0,0.1.0,210,197,177,89.85
2026-05-30T06:25:47Z,sksurv,1.8.0,0.1.0,18,18,2,11.11
2026-05-30T06:25:47Z,statsmodels,1.8.0,0.1.0,1,1,1,100.00
2026-05-30T06:25:47Z,xgboost,1.8.0,0.1.0,5,5,5,100.00
2026-06-01T13:03:29Z,category_encoders,1.8.0,0.1.0,20,20,7,35.00
2026-06-01T13:03:29Z,imblearn,1.8.0,0.1.0,4,4,4,100.00
2026-06-01T13:03:29Z,lightgbm,1.8.0,0.1.0,3,3,3,100.00
2026-06-01T13:03:29Z,sklearn,1.8.0,0.1.0,210,197,177,89.85
2026-06-01T13:03:29Z,sksurv,1.8.0,0.1.0,18,18,2,11.11
2026-06-01T13:03:29Z,statsmodels,1.8.0,0.1.0,1,1,1,100.00
2026-06-01T13:03:29Z,xgboost,1.8.0,0.1.0,5,5,5,100.00
2026-06-08T12:11:52Z,category_encoders,1.8.0,0.1.0,20,20,7,35.00
2026-06-08T12:11:52Z,imblearn,1.8.0,0.1.0,4,4,4,100.00
2026-06-08T12:11:52Z,lightgbm,1.8.0,0.1.0,3,3,3,100.00
2026-06-08T12:11:52Z,sklearn,1.8.0,0.1.0,210,197,177,89.85
2026-06-08T12:11:52Z,sksurv,1.8.0,0.1.0,18,18,2,11.11
2026-06-08T12:11:52Z,statsmodels,1.8.0,0.1.0,1,1,1,100.00
2026-06-08T12:11:52Z,xgboost,1.8.0,0.1.0,5,5,5,100.00
2026-06-15T13:39:25Z,category_encoders,1.8.0,0.1.0,20,20,7,35.00
2026-06-15T13:39:25Z,imblearn,1.8.0,0.1.0,4,4,4,100.00
2026-06-15T13:39:25Z,lightgbm,1.8.0,0.1.0,3,3,3,100.00
2026-06-15T13:39:25Z,sklearn,1.8.0,0.1.0,210,197,177,89.85
2026-06-15T13:39:25Z,sksurv,1.8.0,0.1.0,18,18,2,11.11
2026-06-15T13:39:25Z,statsmodels,1.8.0,0.1.0,1,1,1,100.00
2026-06-15T13:39:25Z,xgboost,1.8.0,0.1.0,5,5,5,100.00
2026-06-22T13:08:47Z,category_encoders,1.8.0,0.1.0,20,20,8,40.00
2026-06-22T13:08:47Z,imblearn,1.8.0,0.1.0,4,4,4,100.00
2026-06-22T13:08:47Z,lightgbm,1.8.0,0.1.0,3,3,3,100.00
2026-06-22T13:08:47Z,sklearn,1.8.0,0.1.0,210,197,177,89.85
2026-06-22T13:08:47Z,sksurv,1.8.0,0.1.0,18,18,2,11.11
2026-06-22T13:08:47Z,statsmodels,1.8.0,0.1.0,1,1,1,100.00
2026-06-22T13:08:47Z,xgboost,1.8.0,0.1.0,5,5,5,100.00
2026-06-29T12:13:15Z,category_encoders,1.8.0,0.1.0,20,20,8,40.00
2026-06-29T12:13:15Z,imblearn,1.8.0,0.1.0,4,4,4,100.00
2026-06-29T12:13:15Z,lightgbm,1.8.0,0.1.0,3,3,3,100.00
2026-06-29T12:13:15Z,sklearn,1.8.0,0.1.0,210,197,177,89.85
